Distancia,Centimetros
207,254.0
210,253.39687001762184
213,252.79374003524376
214,252.19061005286565
215,251.58748007048757
216,250.9843500881094
217,250.3812201057313
218,249.7780901233532
219,249.17496014097503
220,248.57183015859692
221,245.5561802467064
222,244.95305026432823
223,242.5405303348158
224,241.9374003524377
225,241.3342703700596
226,238.9217504405471
227,237.7154904757909
229,236.50923051103464
230,235.3029705462784
231,232.28732063438784
232,229.87480070487535
233,228.06541075774103
234,226.25602081060669
235,223.84350088109423
236,223.2403708987161
237,220.82785096920367
238,219.0184610220693
241,216.00281111017875
243,214.1934211630444
244,213.59029118066627
245,211.17777125115376
246,207.55899135688512
247,205.14647142737263
248,203.9402114626164
249,203.3370814802383
250,202.13082151548207
251,199.7183015859696
252,199.11517160359148
253,198.51204162121337
254,197.9089116388353
255,196.0995216917009
256,194.29013174456657
257,193.08387177981035
259,192.48074179743224
260,191.274481832676
261,190.67135185029787
262,190.06822186791976
263,189.46509188554165
265,188.25883192078544
266,187.6557019384073
267,187.0525719560292
268,186.44944197365103
269,185.84631199127296
270,184.64005202651677
272,183.4337920617605
275,182.22753209700423
277,181.62440211462612
279,181.02127213224804
282,179.8150121674918
283,179.2118821851137
285,178.60875220273556
288,178.00562222035745
293,177.40249223797937
295,176.79936225560124
297,164.73676260803893
299,164.13363262566082
301,155.68981287236718
302,155.08668288998908
303,139.40530334815807
305,138.80217336577996
306,137.59591340102372
307,133.97713350675505
312,132.1677435596207
319,130.96148359486446
320,126.13644373583956
323,123.12079382394896
325,120.1051439120584
328,118.29575396492405
331,117.69262398254592
333,116.4863640177897
335,115.28010405303348
338,114.67697407065536
339,114.07384408827724
342,112.867584123521
344,110.45506419400854
346,109.98431763348368
353,109.58176859330744
362,107.97157243260251
363,107.16647435225006
368,106.3613762718976
383,105.55627819154516
384,104.7511801111927
386,104.34863107101646
388,98.31039546837302
390,96.29765026749186
392,95.89510122731564
396,92.27215986572956
397,89.45431658449596
398,88.6492185041435
402,87.84412042379103
404,86.63647330326233
405,86.23392426308612
406,85.02627714255743
408,84.22117906220497
410,83.4160809818525
411,82.20843386132381
414,81.00078674079512
419,80.19568866044267
424,78.98804153991398
432,78.58549249973774
434,75.76764921850415
437,73.75490401762299
443,73.35235497744677
445,72.94980593727053
446,72.14470785691807
472,71.74215881674183
473,71.33960977656561
487,70.53451169621314
488,69.7294136158607
508,68.92431553550823
509,68.11921745515576
510,66.10647225427462
511,64.89882513374593
512,64.09372705339348
513,63.69117801321724
515,62.48353089268855
516,61.67843281233609
517,60.87333473198363
519,59.66568761145494
521,58.86058953110248
523,58.45804049092625
524,58.055491450750026
525,57.65294241057379
526,57.25039337039756
527,56.847844330221335
529,56.04274624986887
530,55.64019720969264
531,55.23764816951642
532,54.83509912934018
534,54.43255008916395
535,53.627452008811495
537,53.22490296863526
540,52.82235392845904
543,52.419804888282805
544,52.01725584810657
545,51.61470680793035
546,51.212157767754114
550,50.80960872757788
552,50.407059687401656
553,50.00451064722543
555,49.60196160704919
559,49.199412566872965
565,48.79686352669674
569,48.39431448652051
570,47.991765446344274
573,47.186667365991816
578,45.979020245463126
581,45.57647120528689
585,45.17392216511067
586,44.77137312493444
590,44.36882408475821
593,43.96627504458198
596,43.56372600440575
600,43.16117696422952
605,42.758627924053286
607,42.35607888387706
609,41.5509808035246
611,41.14843176334837
615,40.74588272317214
616,40.34333368299591
617,39.94078464281968
621,39.53823560264345
622,39.13568656246722
627,38.73313752229099
628,38.33058848211476
629,37.92803944193853
630,37.5254904017623
631,37.12294136158607
632,36.72039232140984
633,36.31784328123361
634,35.91529424105738
635,34.70764712052869
636,33.5
